06:45,07:45,09:45,11:00,12:45,14:45,17:30,18:45
06:30,07:45,09:45,11:00,12:45,14:15,15:45,17:15,18:40
07:00,07:45,09:45,12:45,16:30,18:00
06:30,07:45,09:45,12:00,13:45,16:30,18:00
06:30,07:45,09:45,12:45,13:45,16:30,18:00
06:30,07:45,09:45,12:45,13:45,15:45,18:00
07:00,07:45,09:45,12:45,13:45,15:45,18:45
07:00,07:45,09:45,12:45,13:45,14:45,18:45
07:00,07:45,09:45,12:45,13:45,14:45,15:45,18:45
07:00,07:45,09:45,12:45,13:45,14:45,15:45,18:00
06:30,07:45,09:45,12:45,13:45,14:45,15:45,17:45,18:45
06:30,07:45,09:45,12:45,13:45,14:45,15:45,18:00
06:30,07:45,09:45,12:45,13:45,14:45,15:45,18:00
07:00,07:45,09:45,12:45,13:45,14:45,15:45,18:00
07:00,07:45,09:45,12:45,14:45,15:45,18:00
07:00,07:45,09:45,12:45,14:45,15:45,18:30
07:00,07:45,09:45,12:45,14:45,15:45,18:30
07:00,07:45,09:45,12:45,14:45,15:45,18:00
07:00,07:45,09:45,12:45,14:45,15:45,18:00
07:00,07:45,09:45,12:45,14:45,15:45,18:00
06:30,07:45,09:45,12:45,13:45,14:45,15:45,18:00
06:30,07:45,09:45,12:45,14:15,15:45,18:45
06:30,07:45,09:45,12:45,13:45,15:45,18:00
07:00,07:45,09:45,12:45,13:45,18:00
07:00,07:45,09:45,12:45,14:45,15:45,18:00
07:00,07:45,09:45,12:45,14:45,15:45,18:30
06:30,07:45,09:45,12:45,13:45,15:45,18:00
06:30,07:45,09:45,12:45,14:45,15:45,18:00
07:00,07:45,09:45,12:45,14:45,15:45,18:00
07:00,07:45,09:45,12:45,14:45,15:45,18:00
07:00,07:45,09:45,12:45,14:45,15:45,18:00
07:00,07:45,09:45,12:45,13:45,14:45,15:45,18:00
06:30,07:45,09:45,12:45,14:15,15:45,18:45
06:30,07:45,09:45,12:45,13:45,15:45,18:00
06:30,07:45,09:45,12:45,15:45,18:00
07:00,07:45,09:45,12:45,14:45,15:45,18:00
